iter	Passed	Remaining
0	0	67
1	1	58
2	1	52
3	1	47
4	2	46
5	2	45
6	3	44
7	3	43
8	4	42
9	4	41
10	5	41
11	5	40
12	6	40
13	6	40
14	7	41
15	7	40
16	8	41
17	9	41
18	9	41
19	10	41
20	10	41
21	11	40
22	11	39
23	12	39
24	12	38
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	15	34
31	16	34
32	16	33
33	16	32
34	17	32
35	17	31
36	18	31
37	18	30
38	19	30
39	19	29
40	20	28
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	46	3
93	47	3
94	47	2
95	48	2
96	48	1
97	49	1
98	50	0
99	50	0
